"","State","Cases"
"1","Andaman and Nicobar Islands",474804
"2","Andhra Pradesh",67644725
"3","Arunachal Pradesh",2237299
"4","Assam",2065991
"5","Bihar",1859345
"6","Chandigarh",1427953
"7","Chhattisgarh",467857
"8","Dadra and Nagar Haveli and Daman and Diu",224199
"9","Delhi",6848173
"10","Goa",266181
"11","Gujarat",8009517
"12","Haryana",19221575
"13","Himachal Pradesh",2447740
"14","Jammu and Kashmir",9869319
"15","Jharkhand",9922526
"16","Karnataka",4701197
"17","Kerala",36405434
"18","Ladakh",582004
"19","Madhya Pradesh",22364678
"20","Maharashtra",96902754
"21","Manipur",101501
"22","Meghalaya",704121
"23","Mizoram",19785
"24","Nagaland",90682
"25","Odisha",2214458
"26","Puducherry",3661073
"27","Punjab",960287
"28","Rajasthan",21231125
"29","Sikkim",19642
"30","Tamil Nadu",12772604
"31","Telangana",3855373
"32","Tripura",3021038
"33","Uttar Pradesh",2743971
"34","Uttarakhand",7962420
"35","West Bengal",3487431
